96935	
	(-0.004074952157,-0.00298534036)	(0.0005464068881,0.0004021492102)	(-0.004018904063,-0.002944288148)	(0.0005800775377,0.0004267756282)	(-0.004126840984,-0.003023345769)
	(0.0005109568968,0.0003762183053)	(-0.003997977306,-0.002928901527)	(0.0006750856004,0.0004963318808)	(-0.0009818580191,-0.0007194601191)	(-0.004054155734,-0.002970048114)
	(0.0006448712116,0.0004742362402)	(-0.004054176235,-0.002970009024)	(0.0007185031807,0.000528150523)	(-0.004008101251,-0.002936262651)	(0.0007410396941,0.0005446307426)
	(-0.004228291312,-0.003097636776)	(0.0004661460924,0.0003434524219)	(-0.004176762848,-0.003059902849)	(0.0004895130664,0.0003605395104)	(0.01597073509,0.01169173283)
	(-0.001722495259,-0.001258655814)	(0.01568249679,0.01148066831)	(-0.001673387292,-0.001222694448)	(-0.004063349987,-0.002976673947)	(0.0007889171997,0.0005797155713)
	(-0.004053731822,-0.002969581918)	(0.0008628007968,0.0006338128542)	(-0.004008365746,-0.002936354684)	(0.0008814780699,0.000647469432)	(-0.004016362452,-0.002942259903)
	(0.0008090737053,0.000594452551)	(-0.0008638200028,-0.0006329827267)	(-0.003878461399,-0.002841099486)	(0.001082083442,0.0007943106754)	(-0.003862657008,-0.002829564885)
	(0.001029468414,0.0007557724618)	(-0.003927661637,-0.002877157512)	(0.001034288306,0.0007593318479)	(-0.003815521604,-0.002795019739)	(0.001072299275,0.0007871150249)
	(-0.0006313213997,-0.0004626352523)	(-0.003910381351,-0.002864542621)	(0.0009813502966,0.0007205567982)	(-0.0007122108799,-0.0005219024889)	(-0.003954009256,-0.002896496017)
	(0.0009678101374,0.0007106629147)	(-0.003834969066,-0.002809234678)	(0.001107049745,0.0008125736802)	(-0.003873293191,-0.002837249954)	(0.001174850269,0.000862244278)
	(-0.003815909819,-0.002795240837)	(0.001161035341,0.0008521001695)	(-0.003855758897,-0.002824433118)	(0.001141465477,0.0008377867538)	(-0.0005874816342,-0.0004305204678)
