96935	
	(-0.0003561184229,-0.0002486978783)	(-0.0002789233997,0.0003163378075)	(0.0002436596264,-0.0001913542557)	(-0.007922877345,0.005607190811)	(0.005395996335,0.008154809374)
	(-0.006477675434,0.002810005257)	(0.002693235125,0.00648630993)	(-0.008302801159,0.00239922617)	(0.002289669562,0.008476080649)	(0.001798005008,-0.0001036901116)
	(-0.006991894618,7.626259501e-006)	(-0.0001154163832,0.00710950264)	(-0.005588485792,0.0008188056701)	(0.0006615400274,0.00556128509)	(-0.005370363475,-0.001559018316)
	(-0.001721308026,0.005348304317)	(0.000991800654,0.0003075193582)	(-0.004395337715,-0.0002508080451)	(-0.0003921461126,0.004397840685)	(-0.0038029822,-0.00123441627)
	(-0.001292947111,0.003837817568)	(-0.001687136749,9.234267446e-005)	(3.649680292e-006,0.001755082469)	(-0.002630765839,-0.0009120663933)	(-0.001220034426,0.002705915983)
	(0.000585802375,-1.579789616e-005)	(-0.003159270313,-0.0001669642285)	(-0.0003029888171,0.00323287919)	(-0.002303511226,0.0002425478873)	(8.708298055e-005,0.002254042544)
	(-0.0002213640325,0.0001005491523)	(4.794514183e-005,0.00019004841)	(-0.0001379367359,7.639964076e-006)	(-3.820775666e-005,9.979413243e-005)	(-0.0003198501133,3.190691338e-005)
	(-5.166197026e-005,0.0003168469638)	(-0.0002193505432,-7.143551189e-005)	(-0.0001302165734,0.0001648776918)	(0.0002246520314,-0.0002173526429)	(-8.492830931e-005,6.319900541e-005)
	(2.384026998e-005,3.421177827e-005)	(0.000184638996,-0.000222759996)	(-0.0001020829907,0.0001295338498)	(7.638089613e-005,5.419928068e-005)	(-3.434878381e-005,9.115276528e-005)
	(4.966698748e-005,1.696275297e-006)	(-1.411770516e-005,2.799139747e-005)	(-6.755115711e-006,-5.083865995e-005)	(-1.667344002e-005,6.255262276e-005)	(5.257251625e-005,-3.729571139e-005)
	(-3.312940092e-006,3.516693554e-005)	(4.123775764e-005,-2.876178726e-005)	(8.617714606e-006,-4.691823954e-005)	(-8.602941115e-005,-7.50114166e-005)	(1.106770143e-005,-4.589634425e-006)
	(4.028832005e-006,-5.341302988e-005)	(-6.226229457e-006,-4.807046859e-005)	(-2.790449454e-005,-3.614752461e-005)	(9.082825924e-006,-2.885770937e-005)	(-1.272092472e-005,-4.761324347e-005)
	(-2.282750597e-005,-1.546444702e-005)	(-1.480423054e-005,8.616404958e-007)	(-8.259540561e-005,-3.560609801e-005)	(-8.986915071e-005,3.681304756e-005)	(7.298298543e-005,-9.795382943e-005)
	(-6.021134528e-005,-9.566553677e-006)	(-4.926780673e-005,3.466119394e-005)	(6.686213638e-005,-4.441781118e-005)	(2.184977241e-005,-0.0001150836112)	(-2.184279054e-005,-2.519209971e-005)
	(-8.533754587e-006,3.989358076e-006)	(3.386580439e-006,-1.990652174e-007)	(-1.144285533e-005,-1.419499339e-005)	(-8.305907897e-006,-1.702992508e-006)	(2.13704396e-005,-3.444501531e-005)
	(-3.664176145e-005,-5.552402813e-005)	(-2.221025873e-005,-2.556417873e-006)	(-2.458492002e-005,-4.294938875e-005)	(-2.800297151e-005,-1.481482981e-005)	(-1.676034359e-005,-2.240218408e-005)
	(-7.242578923e-006,2.354571484e-006)	(-3.782777794e-005,-4.014064316e-005)	(-1.578542361e-005,9.84525376e-006)	(-0.005883946525,0.005510746977)	(0.005235505007,0.00591686128)
	(-0.005919772906,0.01177227849)	(0.01152915137,0.006086060396)	(-0.003927857357,0.008017261301)	(0.0078704076,0.003960042807)	(-0.00651635929,0.008859106364)
	(0.00860686104,0.006683910733)	(0.00215550754,-0.001394075889)	(-0.003064200207,0.01074299857)	(0.01045885952,0.003212324871)	(-0.001629658258,0.01332655959)
	(0.01307470368,0.00163042226)	(-0.009636248638,0.01173435045)	(0.01153065987,0.009595911259)	(0.002881040406,-0.001593847903)	(-0.007313104725,0.0135701641)
