96935	
	(-0.005675616048,0.000694730946)	(-0.001097954109,0.000137143265)	(-0.001375957397,0.0001685735108)	(-0.005187973378,0.000634719048)	(-0.000307438105,3.836312683e-005)
	(-0.005184550533,0.0006341540845)	(-0.0004706457719,5.942939983e-005)	(-0.005318759567,0.0006506852986)	(-0.0006192897805,7.805765929e-005)	(-0.005283431331,0.0006462833728)
	(-0.0006388706004,8.039801492e-005)	(-0.005312176749,0.0006497914749)	(-0.0007494998032,9.405526234e-005)	(-0.005293478836,0.0006475034434)	(-0.0006939924755,8.722278072e-005)
	(-0.005369337369,0.00065690692)	(-0.0007931544706,9.946576444e-005)	(-0.001302775889,0.0001596426075)	(-0.005337769303,0.0006529324169)	(-0.0008616044869,0.0001079099171)
	(-0.005333174352,0.0006524493349)	(-0.00068217476,8.577030944e-005)	(-0.001144341828,0.0001402577005)	(-0.005350332391,0.0006545499269)	(-0.0007347345664,9.229285154e-005)
	(-0.005280280356,0.0006458084395)	(-0.0008028705681,0.000100647641)	(-0.005853027926,0.0007166257731)	(-0.001322674302,0.0001648308358)	(-0.005824146765,0.0007130868292)
	(-0.001219626025,0.0001521519443)	(-0.001357432807,0.0001662907592)	(-0.005808197939,0.000711086496)	(-0.001280002796,0.0001595744827)	(-0.005887748282,0.0007209745117)
	(-0.001224758571,0.000152802046)	(-0.00577004306,0.000706322665)	(-0.001403187195,0.0001747144258)	(-0.005791424277,0.0007089877393)	(-0.001337974993,0.0001666980348)
	(-0.001499210401,0.0001836634391)	(-0.005835236165,0.0007143992873)	(-0.001384640535,0.0001724456399)	(-0.0057540085,0.0007043599011)	(-0.001298531314,0.0001618400909)
	(-0.005422856558,0.00066362434)	(-0.0006491008015,8.179274173e-005)	(-0.005550167714,0.0006795536589)	(-0.0005341887114,6.776283509e-005)	(-0.005477265483,0.0006705058175)
	(-0.0005170105598,6.559949973e-005)	(-0.005490649554,0.0006720546172)	(-0.0006386391941,8.055227828e-005)	(-0.005527352818,0.0006766192239)	(-0.0006270595328,7.916464264e-005)
	(-0.0009434026594,0.0001155876381)	(-0.005444559847,0.0006664261116)	(-0.0005337579815,6.763069436e-005)	(-0.005423639995,0.0006637917018)	(-0.0005741678077,7.257375924e-005)
	(-0.005458680317,0.0006680782503)	(-0.0006427165109,8.103910581e-005)	(-0.001005806559,0.0001232453869)	(-0.005470854683,0.0006704061246)	(-0.0001037270397,1.486645653e-005)
	(-0.005497422252,0.0006735607216)	(-0.0001835859693,2.468045604e-005)	(-0.005521993655,0.0006766438661)	(-0.0001650988854,2.242528147e-005)	(-0.0004510914758,5.523381266e-005)
	(-0.005561683169,0.000681442403)	(-0.0002435389572,3.207503331e-005)	(-0.005534158956,0.0006779974818)	(-0.0002577981945,3.380971396e-005)	(-0.005592682782,0.0006851734042)
	(-0.0003246487183,4.205071926e-005)	(-0.0005796158193,7.098496588e-005)	(-0.005547258868,0.0006795184281)	(-0.0003185761548,4.128275661e-005)	(-0.005579704724,0.0006834602318)
	(-0.0003792071444,4.874445812e-005)	(-0.005493423918,0.0006726212149)	(-0.0004292437754,5.481839962e-005)	(-0.005562154446,0.0006811948299)	(-0.0004264370272,5.452735179e-005)
	(-0.000697295815,8.541425858e-005)	(-0.005537793537,0.0006782499134)	(-0.0003732641719,4.798109129e-005)	(-0.005499200618,0.0006734250953)	(-0.0003838848148,4.92711539e-005)
	(-0.005357748559,0.0006556176843)	(-0.0005549295716,7.01414839e-005)	(-0.005346495921,0.00065414659)	(-0.0006042670345,7.620770991e-005)	(-0.005396482354,0.0006604070379)
	(-0.0005720331443,7.229061805e-005)	(-0.005394675898,0.0006601303979)	(-0.0006446242557,8.121055944e-005)	(-0.00105470545,0.0001292540983)	(-0.005307182113,0.0006493087209)
	(-0.0005641556399,7.119776242e-005)	(-0.0009632819566,0.0001180620547)	(-0.005319192121,0.0006508496096)	(-0.0005175193259,6.548377639e-005)	(-0.005286125084,0.0006467286104)
	(-0.0004983564722,6.310571308e-005)	(-0.005271773591,0.0006448622414)	(-0.0005336265891,6.74172744e-005)	(-0.005259201243,0.0006433787878)	(-0.0004747448247,6.007965657e-005)
	(-0.005233798277,0.0006402554373)	(-0.0004391377199,5.56569014e-005)	(-0.005217898357,0.0006382511444)	(-0.0004673740324,5.908440213e-005)	(-0.005212143448,0.0006375613493)
	(-0.0004205749214,5.335295952e-005)	(-0.005190012529,0.0006350361831)	(-0.0003869706878,4.853341601e-005)	(-0.00517714407,0.0006331428805)	(-0.000428815103,5.435698715e-005)
	(-0.005181459551,0.0006335760532)	(-0.0003622246616,4.666176559e-005)	(-0.005185918985,0.0006344402118)	(-0.0004186254068,5.285192373e-005)	(-0.0007319297732,8.975483778e-005)
