96935	
	(0.001786040695,-0.0007036527463)	(-9.62519108e-005,-0.0002092372821)	(0.0003067599892,0.0001187312868)	(-0.0001004292696,-0.0002283351066)	(0.0002815778823,0.0001418278058)
	(-0.0001110034729,-0.0002425324327)	(0.0002557233731,0.0003039208791)	(0.001884037916,-0.0007339277626)	(0.0001984744785,-0.0001410305764)	(0.000152909539,-0.0003724360381)
	(7.874202419e-005,-9.188726804e-005)	(0.0002930366153,-0.0001922444078)	(0.0001313781738,-3.406639531e-005)	(0.0003899571715,-0.0001912849495)	(0.0008782729151,-0.0004343294268)
	(2.175732601e-005,-1.88333032e-005)	(0.0004564356124,1.528845152e-005)	(8.721046823e-006,-7.702113462e-005)	(0.0003864112793,-2.681426773e-005)	(-6.228185705e-005,-6.206029055e-005)
	(0.0004441733689,0.0002167036312)	(0.001145522916,-0.000500815802)	(-4.514277296e-005,-9.840339822e-005)	(0.0004010438728,0.0001042773425)	(-7.426060028e-005,-0.0001102565661)
	(0.000387345993,0.0002298833179)	(-6.863426205e-005,-0.0001879510762)	(0.0003107453362,7.79872304e-005)	(-7.90619575e-005,-0.0001475787697)	(0.00036228724,0.000259616194)
	(0.001349516785,-0.000555928028)	(-4.849621541e-005,-0.0001376349559)	(0.0003618175954,0.0001123736168)	(-6.101272202e-005,-0.0001559886643)	(0.0003434170348,5.287914206e-005)
	(-9.767133708e-005,-0.0002459654547)	(0.0002390986863,-1.03342619e-005)	(-0.0001029260789,-0.0002711910445)	(0.0002611059078,9.145732004e-005)	(-0.0001037750837,-0.0002305255622)
	(0.0002869852132,0.0001081533832)	(-0.0001142918069,-0.0002511155403)	(0.000283574331,0.0002402535098)	(0.001960534013,-0.0007588630914)	(-0.0001017501931,-0.0002699773728)
	(0.0001884002965,-2.650895851e-005)	(0.00177481377,-0.0006851304587)	(-0.0001000374083,-0.0002567673996)	(0.000136141582,-9.356264064e-005)	(-9.50883565e-005,-0.000269835451)
	(1.899351447e-005,-9.336419433e-005)	(-9.006467239e-005,-0.0002917013971)	(8.998913976e-005,-9.500827925e-005)	(-0.0001001468868,-0.0002939437282)	(-7.197048578e-005,-7.320393404e-005)
	(-0.0001143545539,-0.0002879619332)	(-0.0001175212047,2.037613246e-005)	(-0.0001035789183,-0.000343684447)	(-9.901918027e-005,-1.873634937e-005)	(-0.0001276345528,-0.0003076743332)
	(-0.0001108920698,0.0001104445192)	(-0.000131800565,-0.000327376487)	(-3.701959885e-005,0.0001132557465)	(-0.0001616460473,-0.0003488859291)	(-0.0001041875008,6.986421306e-006)
	(-0.0001531446516,-0.000346131093)	(-1.405751245e-005,9.881307839e-005)	(-0.0001398008844,-0.0003204944341)	(-0.0001190237492,8.062047807e-005)	(0.001319577243,-0.0005077953561)
	(-0.0001204064759,-0.0003126210797)	(-2.544357087e-005,0.0001452590182)	(-0.0001249764492,-0.0003205742657)	(-3.646070366e-005,0.000151851855)	(-0.0001207253561,-0.0003335425706)
	(3.656959702e-005,-7.103590533e-005)	(8.117895277e-006,5.597013497e-006)	(-0.0001295523928,-0.0003180900415)	(8.117570581e-005,7.998427545e-005)	(0.0006190998019,-0.0002431366693)
	(-0.0001227304529,-0.0003088586364)	(0.0001009782152,-9.904525742e-006)	(-0.0001300329585,-0.0003240861559)	(9.675495611e-005,8.652813521e-005)	(-0.000130938032,-0.0003302618333)
	(9.004013787e-005,-1.455057408e-005)	(-0.0001066085276,-0.0003340942273)	(5.26928885e-005,-8.366128507e-005)	(0.0001265312552,-0.0001947054269)	(6.882187635e-005,-0.0002906549292)
	(0.0001867056834,-0.000465739923)	(-0.0003955844199,-0.0003632415432)	(7.694150586e-005,-0.0002888764926)	(-0.0002043077165,-0.0002521687414)	(0.0002036591777,-0.0003182048491)
	(-0.0001628647874,-0.0003827683568)	(0.000675885349,-0.000326599295)	(3.036536405e-005,-0.0004056410496)	(-0.0003926846427,-0.0001800785841)	(-6.680814389e-005,-0.0005278577648)
	(-0.0005648821972,-1.575582327e-005)	(0.00042478383,-0.0004194778532)	(-0.0002563855222,-0.0005818154271)	(0.0005646600637,-0.0002907582727)	(0.000282711016,-0.0005603334162)
	(-0.0004981315548,-0.0004454554814)	(0.0008979112984,-0.0006564854914)	(-0.0004997424413,-0.001095695957)	(0.0006125134146,-0.0006871336696)	(-0.0005578131841,-0.0007774234008)
	(0.0006183409709,-0.0003754376046)	(-0.0001810274261,-0.0007777194537)	(0.001024413954,-0.0003971634117)	(-0.0001834690233,-0.001214768486)	(0.0008592444334,-0.0002658069895)
	(-3.804937831e-005,-0.001034718537)	(0.0004720651385,-0.0003135529743)	(0.001557322918,-0.0007080619741)	(-0.0005365476645,-0.0017484295)	(0.001050230407,-0.0008609169675)
	(-0.0007455523642,-0.001212966427)	(0.001351605466,-0.001057134953)	(-0.0009661320441,-0.001542205576)	(0.001214106224,-0.0005622229261)	(-0.00036766706,-0.001379831727)
	(0.0003254913481,-0.0002429888748)	(-3.382818754e-005,-0.000776203838)	(-0.0008505865399,-5.832018958e-005)	(0.0001456703488,-0.0009337580212)	(-0.0009566826255,-0.0002889567906)
	(0.0003714955241,-0.0008648117639)	(-0.0008371861787,-0.0005167813812)	(0.0001012694258,-0.0006480210793)	(-0.0006658027494,-0.0002403464078)	(0.0005760928517,-0.0002337336095)
	(-5.80552913e-005,-0.001105265841)	(-0.001183438346,-3.593663247e-005)	(-0.0003131028283,-0.001048859371)	(-0.001168360487,0.000258957118)	(-0.0004922010422,-0.0007344438867)
	(-0.0008782279157,0.0005096566264)	(-0.0001919141331,-0.0005826389759)	(-0.0006486871156,0.0001435951404)	(-0.0005481320151,-0.0009378287238)	(-0.001069537929,0.0005662667496)
	(-0.0002202634792,-0.0008821090882)	(-0.0009934940415,0.0001716353867)	(0.0005439487208,-0.0001680914478)	(-0.0003616540838,-0.0004694753495)	(-0.0005852708655,0.0003733747102)
	(0.002157566645,-0.0002827107232)	(-9.015119896e-005,-0.002418641638)	(0.00172389568,-0.00132342585)	(-0.00130889231,-0.001964711936)	(0.002537585571,-0.001147702152)
