96935	
	(0.003563653347,-0.001654551554)	(-0.001382767341,-0.003649458532)	(0.004146905135,-0.002461176758)	(-0.002164711413,-0.004261107289)	(0.003424008726,-0.003394545773)
	(-0.003153357618,-0.003594093738)	(0.002927916916,-0.002601640399)	(-0.002291827837,-0.003033302925)	(-0.0007913595903,-4.533825503e-005)	(0.00383303187,0.0008580628061)
	(0.001149871043,-0.003868170843)	(0.004872260676,-4.460761277e-005)	(0.000197688376,-0.004970110039)	(0.003925909426,-0.0005342921048)	(-0.00023912289,-0.003982274496)
	(-0.0009506175293,-0.0005391550892)	(0.004734399378,-0.001202804064)	(-0.0008681644377,-0.004839344159)	(0.00461416665,0.001679194273)	(0.001943782568,-0.004702769902)
	(0.004411018723,-0.005511521532)	(-0.005281406799,-0.00464576608)	(0.00397216807,-0.0043764772)	(-0.004194417645,-0.004163700314)	(-0.00107626135,0.000282966679)
	(0.004925438709,-0.003336812995)	(-0.003070067564,-0.005107839943)	(0.00558852577,-0.004366844375)	(-0.004122374202,-0.005768535558)	(-0.0006461539354,-0.01028330094)
	(-0.01026431348,0.0004489090084)	(0.001767799196,-0.01018821121)	(-0.01011904548,-0.001960472056)	(0.001418677052,-0.008222830295)	(-0.008041791757,-0.001568208843)
	(-0.0007609874243,0.001142127627)	(0.003210760196,-0.007764135501)	(-0.007571163867,-0.003334054314)	(0.004908858329,-0.006824673832)	(-0.00657133055,-0.005071622017)
	(-0.001338308574,0.0007720815271)	(0.004012423421,-0.009641318126)	(-0.009557806943,-0.004293013609)	(0.00615919238,-0.008421914951)	(-0.008317677617,-0.006431752648)
	(0.006394034829,-0.005609740566)	(-0.005340578927,-0.006479410581)	(0.0004464265076,0.002029027392)	(0.00225709945,-0.0004595219512)	(-0.0005682909578,0.001814474037)
	(0.002034520397,0.0005861618621)	(-3.695372494e-005,0.001988774913)	(0.002179106703,0.0001168654751)	(-0.001225506153,0.001388261385)	(0.001541734943,0.00126257619)
	(-0.0006595575028,0.001257782103)	(0.001442933648,0.0007274212355)	(-9.762120271e-005,0.001492498593)	(0.001733375444,0.0001569525846)	(3.325377146e-006,-0.0009853209526)
	(0.003287746191,0.002195709601)	(0.002527725958,-0.003305112956)	(-0.0006718683297,-0.001036715882)	(0.003411865803,0.003577056473)	(0.003885793819,-0.003469849676)
	(0.002237975652,0.002434264962)	(0.002709065161,-0.00220084206)	(0.004152203383,0.002644137964)	(0.002991060817,-0.004132625236)	(0.0006345592583,0.002610779343)
