96935	
	(0.01374237311,-0.0006409590333)	(-0.0003340086798,-0.01360650296)	(0.009235921482,-0.0005870204685)	(-0.0004618226456,-0.009117656674)	(0.01132616542,0.001390883454)
	(0.001699522118,-0.01118213799)	(-0.002457558027,-0.001214936125)	(0.01132756895,-0.002783181584)	(-0.002473747674,-0.01114004751)	(0.01300570056,-0.005449671787)
	(-0.005295227865,-0.01277441036)	(0.01557599856,0.002860523744)	(0.002943820533,-0.01537397165)	(-0.003016514356,-0.001796735986)	(0.01612999684,-0.0002459422454)
	(-5.164555812e-005,-0.01605162681)	(0.02226737238,0.005324735103)	(0.005655659196,-0.02232434466)	(0.02008011899,0.002409555829)	(0.002655573067,-0.01992485722)
	(0.01721995152,0.005319121516)	(0.005465364272,-0.01716572539)	(0.02125148516,0.008395298287)	(0.008715588639,-0.02139403509)	(0.01871063161,0.008368287497)
	(0.008598711979,-0.01885328791)	(-0.002922699185,-0.002828310003)	(0.02711211395,0.009681780649)	(0.009865248229,-0.02781606462)	(0.02490386777,0.004986278407)
	(0.005112132082,-0.02516932835)	(0.02814160786,0.006036327606)	(0.006150968494,-0.0288548941)	(0.02396025245,0.008376259353)	(0.008587395725,-0.02416197706)
	(-0.003800587104,-0.003231852402)	(0.01738210047,-0.00605880907)	(-0.005820024665,-0.01730804051)	(0.02015680467,-0.004382182619)	(-0.004065726073,-0.02006827363)
	(0.02048556327,-0.001500672122)	(-0.001268980744,-0.020443909)	(0.0161325902,-0.003415621426)	(-0.003158960324,-0.01609513747)	(-0.003564950449,-0.0008195329204)
	(0.02153144925,-0.00761009378)	(-0.007372277984,-0.0214907125)	(0.02032060612,-0.01050995065)	(-0.01022271359,-0.02024663569)	(0.01611494555,-0.01260726395)
	(-0.01231307622,-0.01593663784)	(0.01369456933,-0.007859441268)	(-0.007651107245,-0.01330863942)	(0.01875948159,-0.01315171861)	(-0.01302594773,-0.01864555236)
	(0.0183298328,-0.009032212848)	(-0.008838574875,-0.01825692768)	(-0.004484535136,-0.0001953875827)	(0.01181525173,-0.01054343271)	(-0.01023570896,-0.01149333917)
	(0.02809092,0.01573056839)	(0.01616249351,-0.02989248012)	(0.03145972982,0.007166371892)	(0.007129466399,-0.03319706384)	(0.0332183172,0.01315291502)
	(0.01289899558,-0.03637946591)	(0.03463589154,0.008660140571)	(0.008028667041,-0.03765762268)	(0.03096094874,0.0176452754)	(0.01781854549,-0.03427882241)
	(0.03029930221,0.01124053671)	(0.01142185745,-0.03203009427)	(-0.004789411417,-0.004163864574)	(0.01879478667,0.02610780211)	(0.02702508908,-0.02031970952)
	(-0.001632100516,-0.005758860812)	(0.02532540392,0.01988805817)	(0.02050793577,-0.02696428124)	(-0.003265777153,-0.005225563017)	(0.02479399279,0.02927084213)
	(0.03106701387,-0.03069969493)	(0.02225766923,0.02318267774)	(0.02403727537,-0.02390109847)	(0.01953324305,0.02957260012)	(0.03109838017,-0.02267170004)
