96935	
	(0.000754222675,-0.0006038571833)	(0.0001121745421,0.0006090142094)	(0.0006557617649,-6.342287129e-005)	(0.0001411961808,0.0009078311979)	(0.001019516563,-8.856641957e-005)
	(-0.0002980883399,-6.22189709e-005)	(0.0005423244906,0.0004299394295)	(0.0005058739436,-0.0004502619714)	(0.0003414970448,0.0003043267875)	(0.0003324442307,-0.0002869268268)
	(0.000119687048,0.0004175458237)	(0.0004159407587,-6.975497973e-005)	(-0.0003097763773,-5.076094523e-006)	(0.009684999919,0.0006410996687)	(0.0009512552386,-0.009731928416)
	(0.006799928193,0.001901641465)	(0.001997744248,-0.006733025672)	(0.007957874434,0.003370961647)	(0.003565242582,-0.008023332495)	(-0.001461168205,-0.001052857444)
	(0.005432706984,0.004401293462)	(0.00457095129,-0.005446445161)	(0.004854528774,0.002886955524)	(0.002991906031,-0.004734280183)	(0.003186386586,0.004595405503)
	(0.004707494003,-0.003066960906)	(-0.000576107434,-0.0008639158383)	(0.003254062579,0.002965235887)	(0.003076543135,-0.003166912776)	(0.002174210263,0.003355444841)
	(0.003422845649,-0.002164355404)	(0.001367944846,0.000991779033)	(0.001103467982,-0.00136478535)	(0.00146738749,0.002366315354)	(0.002652768753,-0.001331602697)
	(-0.0004647230344,-0.0003570121371)	(0.002347333936,0.00212101513)	(0.002273017065,-0.002318733908)	(0.001941124828,0.001263694849)	(0.001353211482,-0.001804725925)
	(0.0002352176269,6.14800293e-005)	(8.258778108e-005,-0.00017775409)	(0.0001118874651,8.101798479e-005)	(9.257692441e-005,-5.338298633e-005)	(0.0002684059345,0.0001768480945)
	(0.0002398385554,-0.0002134018176)	(0.0001252453334,0.0001937248289)	(0.000205027994,-4.591131424e-005)	(-0.0003114088155,2.708356248e-005)	(0.0001057552819,4.475014254e-006)
	(3.073020362e-006,-4.158383964e-005)	(-0.0002837545867,5.650173252e-005)	(0.0001608869984,-3.620674112e-005)	(-2.511554738e-005,-9.021993168e-005)	(8.411247233e-005,-4.910851039e-005)
	(-3.747265905e-005,-3.262245593e-005)	(2.85923106e-005,-1.282845401e-005)	(-2.678673941e-005,4.372586545e-005)	(5.236013757e-005,-3.804738954e-005)	(-6.430677751e-005,-4.188508792e-006)
	(2.472662892e-005,-2.520910136e-005)	(-5.012821033e-005,-3.666771933e-006)	(-3.627832267e-005,3.099248835e-005)	(1.951737278e-005,0.0001124537461)	(-1.149942286e-005,-3.413101468e-006)
	(-3.678509244e-005,3.892303902e-005)	(-2.548244464e-005,4.124927114e-005)	(-1.080626443e-006,4.564508611e-005)	(-2.526476552e-005,1.667482732e-005)	(-2.013152364e-005,4.498004919e-005)
	(7.943607566e-006,2.63867101e-005)	(1.201893149e-005,8.649511458e-006)	(4.165946754e-005,7.970853719e-005)	(9.29908638e-005,2.806611462e-005)	(-0.000118405611,2.998963885e-005)
	(4.068975238e-005,4.537335591e-005)	(6.009374716e-005,4.147252086e-006)	(-7.991835669e-005,-7.66048358e-006)	(-8.948168087e-005,7.55563001e-005)	(1.050121018e-006,3.332433839e-005)
	(9.133668932e-006,2.270541372e-006)	(-2.743513504e-006,-1.973377826e-006)	(-8.748375398e-008,1.824322329e-005)	(5.391145412e-006,6.56667525e-006)	(-3.830653566e-005,1.323688521e-005)
	(-6.578630249e-006,6.62000793e-005)	(1.564375429e-005,1.598158981e-005)	(-8.011112816e-006,4.883488529e-005)	(1.240176252e-005,2.914440227e-005)	(-1.144686325e-006,2.795494253e-005)
	(7.100258563e-006,2.732896762e-006)	(4.037266692e-006,5.500585636e-005)	(1.845734654e-005,2.301521065e-006)	(0.008041360479,-0.000569222293)	(-0.0003347912628,-0.007893420656)
	(0.01201597878,-0.005407541878)	(-0.005113973741,-0.0119918226)	(0.008102748041,-0.003748033846)	(-0.003613730723,-0.008035171468)	(0.01064286975,-0.002769968458)
	(-0.002468524781,-0.01061394596)	(-0.002552061204,-0.0002764568601)	(0.0091503838,-0.006408439093)	(-0.006094481192,-0.009086279265)	(0.009665216235,-0.009318313242)
	(-0.009122302301,-0.009507064069)	(0.01487721805,-0.003035511418)	(-0.002902798044,-0.01471751185)	(-0.003241221448,-0.0005786908214)	(0.01423089105,-0.005925010494)
